block,layer,shape (OxI),act_in_dtype,act_in_bits,act_in_bytes/token,weight_dtype,weight_bits,block_size,scale_dtype,scale_bits,weight_bytes,scale_bytes,total_weight_bytes,act_out_dtype,act_out_bits,act_out_bytes/token,matmul_formula,matmul_factor,matmul_flops/token,scale_dequant_flops/token,total_flops/token,matmul_flops/image,scale_dequant_flops/image,total_flops/image,eff_bits/weight
22,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,995328,20736,1016064,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.12
22,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,995328,20736,1016064,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.12
22,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,995328,20736,1016064,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.12
22,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,995328,20736,1016064,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.12
22,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,995328,20736,1016064,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.12
22,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,995328,20736,1016064,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.12
22,attn2.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,995328,20736,1016064,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.12
22,ff.net.0.proj,4608x1152,FP16,16,2304.0,MXFP6_E2M3,6,64,E8M0,8,3981312,82944,4064256,FP16,16,9216.0,2 x 4608 x 1152 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.12
22,ff.net.2,1152x4608,FP16,16,9216.0,MXFP6_E2M3,6,64,E8M0,8,3981312,82944,4064256,FP16,16,2304.0,2 x 1152 x 4608 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.12
23,attn1.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,attn2.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
23,ff.net.0.proj,4608x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,9216.0,2 x 4608 x 1152 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
23,ff.net.2,1152x4608,FP16,16,9216.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,2304.0,2 x 1152 x 4608 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
24,attn1.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,attn2.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
24,ff.net.0.proj,4608x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,9216.0,2 x 4608 x 1152 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
24,ff.net.2,1152x4608,FP16,16,9216.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,2304.0,2 x 1152 x 4608 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
25,attn1.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,attn2.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
25,ff.net.0.proj,4608x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,9216.0,2 x 4608 x 1152 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
25,ff.net.2,1152x4608,FP16,16,9216.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,2304.0,2 x 1152 x 4608 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
26,attn1.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,attn2.to_out.0,1152x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,1036800,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,1327104,6635520,21743271936,5435817984,27179089920,6.25
26,ff.net.0.proj,4608x1152,FP16,16,2304.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,9216.0,2 x 4608 x 1152 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
26,ff.net.2,1152x4608,FP16,16,9216.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,4147200,FP16,16,2304.0,2 x 1152 x 4608 x 2.0,2.0,21233664,5308416,26542080,86973087744,21743271936,108716359680,6.25
27,attn1.to_q,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,attn1.to_k,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,attn1.to_v,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,attn1.to_out.0,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,attn2.to_q,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,attn2.to_k,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,attn2.to_v,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,attn2.to_out.0,1152x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,1327104,41472,1368576,FP16,16,2304.0,2 x 1152 x 1152 x 2.0,2.0,5308416,2654208,7962624,21743271936,10871635968,32614907904,8.25
27,ff.net.0.proj,4608x1152,FP16,16,2304.0,MXFP8,8,64,FP16,16,5308416,165888,5474304,FP16,16,9216.0,2 x 4608 x 1152 x 2.0,2.0,21233664,10616832,31850496,86973087744,43486543872,130459631616,8.25
27,ff.net.2,1152x4608,FP16,16,9216.0,MXFP8,8,64,FP16,16,5308416,165888,5474304,FP16,16,2304.0,2 x 1152 x 4608 x 2.0,2.0,21233664,10616832,31850496,86973087744,43486543872,130459631616,8.25
,,,,,,,,,,,,,,,,,,,,,,,,,
=== BLOCK SUMMARY ===,,,,,,,,,,,,,,,,,,,,,,,,,
Block 0,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 1,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 2,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 3,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 4,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 5,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 6,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 7,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 8,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 9,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 10,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 11,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 12,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 13,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 14,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 15,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 16,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 17,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 18,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 19,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 20,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 21,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
Block 22,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,64,E8M0,8,15925248,331776,16257024,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.12
Block 23,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 24,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 25,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 26,10 layers,"21,233,664 params",FP16,16,,MXFP6_E2M3,6,32,E8M0,8,15925248,663552,16588800,FP16,16,,sum 10 layers x2.0,2.0,84934656,21233664,106168320,347892350976,86973087744,434865438720,6.25
Block 27,10 layers,"21,233,664 params",FP16,16,,MXFP8,8,64,FP16,16,21233664,663552,21897216,FP16,16,,sum 10 layers x2.0,2.0,84934656,42467328,127401984,347892350976,173946175488,521838526464,8.25
,,,,,,,,,,,,,,,,,,,,,,,,,
=== GRAND SUMMARY ===,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Cascade-3 Mixed-Precision (Weight-Only),,,,,,,,,,,,,,,,,,,,,,,,
Model,"PixArt-Sigma (600M params, 28 DiT blocks)",,,,,,,,,,,,,,,,,,,,,,,,
Image,1024x1024 → 4096 tokens,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
--- Config ---,,,,,,,,,,,,,,,,,,,,,,,,,
MXFP8 Blocks,"12 (act=FP16, wgt=8bit → matmul factor=1.0)",,,,,,,,,,,,,,,,,,,,,,,,
MXFP6_E2M3 Blocks,"16 (act=FP16, wgt=6bit → matmul factor=0.75)",,,,,,,,,,,,,,,,,,,,,,,,
Activation Quant,None — FP16 preserved,,,,,,,,,,,,,,,,,,,,,,,,
SVD Correction,None,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
--- Storage ---,,,,,,,,,,,,,,,,,,,,,,,,,
Total Parameters,"594,542,592",,,,,,,,,,,,,,,,,,,,,,,,
FP16 Baseline,1134.00 MB,,,,,,,,,,,,,,,,,,,,,,,,
Weight Storage,486.00 MB,,,,,,,,,,,,,,,,,,,,,,,,
Scale Storage,17.40 MB,,,,,,,,,,,,,,,,,,,,,,,,
Total Storage,503.40 MB,,,,,,,,,,,,,,,,,,,,,,,,
Compression,2.25x vs FP16,,,,,,,,,,,,,,,,,,,,,,,,
Eff Bits/Weight,7.10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"--- Bit-Weighted FLOPs (per token, FP8=1.0x) ---",,,,,,,,,,,,,,,,,,,,,,,,,
Matmul FLOPs/Token,"2,378,170,368  (2.38 GFLOPs)",,,,,,,,,,,,,,,,,,,,,,,,
Scale Dequant FLOPs/Token,"849,346,560  (849.35 MFLOPs)",,,,,,,,,,,,,,,,,,,,,,,,
Total FLOPs/Token,"3,227,516,928  (3.23 GFLOPs)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
--- Bit-Weighted FLOPs (per image) ---,,,,,,,,,,,,,,,,,,,,,,,,,
Matmul FLOPs/Image,"9,740,985,827,328  (9.74 TFLOPs)",,,,,,,,,,,,,,,,,,,,,,,,
Scale Dequant FLOPs/Image,"3,478,923,509,760  (3.48 TFLOPs)",,,,,,,,,,,,,,,,,,,,,,,,
Total FLOPs/Image,"13,219,909,337,088  (13.22 TFLOPs)",,,,,,,,,,,,,,,,,,,,,,,,
vs FP16 (all x2.0),1.3571x  (FP16 total: 9.74 TFLOPs/image),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
--- Activation Memory ---,,,,,,,,,,,,,,,,,,,,,,,,,
Act In/Token (all layers),838656 bytes (819.0 KB),,,,,,,,,,,,,,,,,,,,,,,,
Act In/Image (all layers),3435134976 bytes (3.20 GB),,,,,,,,,,,,,,,,,,,,,,,,
